geometry_id,geometry_family,geometry_label,method,load_case,load_type,point_load_N,distributed_load_Nmm,max_von_mises_MPa,tip_deflection_mm,safety_factor,material_efficiency_index,stress_uniformity_MPa,mass_g,moment_of_inertia_mm4,area_mm2
SR-1.5,Solid rectangle,b/h=1.5,analytical,UDL100,udl,0.0,100.0,32579.705870996964,1757.8122802734642,0.007673488551121465,3.836744275560732e-05,9886.172821971868,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,TRI10,tri,0.0,10.0,1090.2979880805774,46.87499414062572,0.22929511265091318,0.0011464755632545655,315.6670300151411,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,TRI50,tri,0.0,50.0,5451.4899404028865,234.37497070312858,0.04585902253018264,0.00022929511265091314,1578.335150075705,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,TRI100,tri,0.0,100.0,10902.979880805773,468.74994140625716,0.02292951126509132,0.00011464755632545657,3156.67030015141,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,C500+50,combined,500.0,50.0,16939.395008801806,925.7811342773578,0.014758496384912128,7.379248192456062e-05,5128.234618297218,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,C1000+50,combined,1000.0,50.0,17588.973752240225,972.6561284179836,0.014213450058060306,7.106725029030151e-05,5313.812408793612,785.0000000000001,2222.2225000000008,200.00000000000006
SR-1.5,Solid rectangle,b/h=1.5,analytical,C1000+100,combined,1000.0,100.0,33878.79001760361,1851.5622685547155,0.007379248192456064,3.689624096228031e-05,10256.469236594436,785.0000000000001,2222.2225000000008,200.00000000000006
SR-2.0,Solid rectangle,b/h=2.0,analytical,P100,point,100.0,0.0,150.0899542549436,12.499998437500198,1.6656677739760561,0.00832833886988028,44.15879881178939,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,P500,point,500.0,0.0,750.449771274718,62.499992187500986,0.33313355479521123,0.0016656677739760562,220.7939940589469,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,P1000,point,1000.0,0.0,1500.899542549436,124.99998437500197,0.16656677739760561,0.0008328338869880281,441.5879881178938,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,P5000,point,5000.0,0.0,7504.497712747178,624.9999218750098,0.03331335547952113,0.00016656677739760564,2207.9399405894696,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,UDL10,udl,0.0,10.0,3758.988755968906,234.37497070312867,0.06650724868570689,0.0003325362434285344,1141.5569080041241,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,UDL50,udl,0.0,50.0,18794.94377984453,1171.8748535156433,0.013301449737141379,6.65072486857069e-05,5707.784540020621,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,UDL100,udl,0.0,100.0,37589.88755968906,2343.7497070312866,0.0066507248685706895,3.325362434285345e-05,11415.569080041241,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,TRI10,tri,0.0,10.0,1256.7317156642162,62.49999218750098,0.19892869487094017,0.0009946434743547008,364.5008895070628,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,TRI50,tri,0.0,50.0,6283.65857832108,312.4999609375049,0.03978573897418804,0.00019892869487094018,1822.504447535314,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,TRI100,tri,0.0,100.0,12567.31715664216,624.9999218750098,0.01989286948709402,9.946434743547009e-05,3645.008895070628,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,C500+50,combined,500.0,50.0,19544.963021162235,1234.3748457031443,0.012791019339832644,6.395509669916322e-05,5921.575274682914,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,C1000+50,combined,1000.0,50.0,20295.014092828176,1296.8748378906453,0.01231829644741881,6.159148223709405e-05,6135.862049280333,784.9999999999999,1666.666875,200.0
SR-2.0,Solid rectangle,b/h=2.0,analytical,C1000+100,combined,1000.0,100.0,39089.92604232447,2468.7496914062885,0.006395509669916322,3.197754834958161e-05,11843.150549365828,784.9999999999999,1666.666875,200.0
SR-2.5,Solid rectangle,b/h=2.5,analytical,P100,point,100.0,0.0,167.78555647612015,15.62499804687524,1.4899971442749358,0.007449985721374677,49.37103797394898,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,P500,point,500.0,0.0,838.9277823806009,78.1249902343762,0.29799942885498715,0.0014899971442749354,246.8551898697449,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,P1000,point,1000.0,0.0,1677.8555647612018,156.2499804687524,0.14899971442749357,0.0007449985721374677,493.7103797394898,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,P5000,point,5000.0,0.0,8389.277823806007,781.249902343762,0.02979994288549872,0.00014899971442749357,2468.5518986974494,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,UDL10,udl,0.0,10.0,4200.6690643985,292.9687133789107,0.05951432882889999,0.00029757164414449984,1276.2994232408473,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,UDL50,udl,0.0,50.0,21003.345321992496,1464.8435668945538,0.01190286576578,5.951432882889999e-05,6381.497116204237,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,UDL100,udl,0.0,100.0,42006.69064398499,2929.6871337891075,0.00595143288289,2.9757164414449994e-05,12762.994232408473,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,TRI10,tri,0.0,10.0,1403.566709315981,78.1249902343762,0.1781176472344773,0.0008905882361723862,407.52438339846594,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,TRI50,tri,0.0,50.0,7017.833546579905,390.624951171881,0.03562352944689545,0.0001781176472344772,2037.62191699233,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,TRI100,tri,0.0,100.0,14035.66709315981,781.249902343762,0.017811764723447726,8.90588236172386e-05,4075.24383398466,785.0000000000001,1333.3335000000004,200.00000000000006
SR-2.5,Solid rectangle,b/h=2.5,analytical,C500+50,combined,500.0,50.0,21841.88764124975,1542.9685571289297,0.01144589717272694,5.722948586363469e-05,6620.5224240364905,785.0000000000001,1333.3335000000004,200.00000000000006
